Fri Jan  8 10:41:14 2021,Search String:,AGILIS-15863
Filename,Row,Column,Find String
WHAT60194_UC_ControllerBoxDisabled_Main.xlsm,12,2,['AGILIS-15347'],2020-11-30 00:00:00
WHAT60195_UC_ControllerBoxEnabled_Alt1.xlsm,12,2,['AGILIS-15347'],2020-11-30 00:00:00
WHAT60195_UC_ControllerBoxEnabled_Alt2.xlsm,12,2,['AGILIS-15347'],2020-11-30 00:00:00
WHAT60195_UC_ControllerBoxEnabled_Alt3.xlsm,12,2,['AGILIS-15347'],2020-11-30 00:00:00
WHAT60195_UC_ControllerBoxEnabled_Main.xlsm,12,2,['AGILIS-15347'],2020-11-30 00:00:00
........................   Found Wanted String    ..............................
Fri Jan 22 15:21:03 2021,Search String:,Batteries are resting
Filename,Row,Column,Find String
WHAT38625 Cyclic charging mode - settings.xlsm,37,3,['batteries are resting'],2019-07-18 00:00:00
WHAT38625 Cyclic charging mode - settings.xlsm,43,3,['batteries are resting'],2019-07-18 00:00:00
WHAT38625 Cyclic charging mode.xlsm,39,3,['batteries are resting'],2019-07-18 00:00:00
WHAT38625 Cyclic charging mode.xlsm,45,3,['batteries are resting'],2019-07-18 00:00:00
........................   Found Wanted String    ..............................
